Iteration,0-0,0-1,1-0,1-1,2-0,2-1,3-0,3-1,4-0,4-1,5-0,5-1,6-0,6-1,7-0,7-1,8-0,8-1,9-0,9-1,10-0,10-1,11-0,11-1,12-0,12-1,13-0,13-1,14-0,14-1,15-0,15-1
0,0.10514768541205632,0.38194344494311006,0.03647605659256892,0.8904115634420757,0.9809208570123115,0.05994198881803725,0.8905459447285041,0.5769014994000329,0.7424796890979773,0.6301839364753761,0.5818421923987779,0.020439132026923157,0.2100265776728606,0.5446848781786475,0.7691151711056516,0.2506952291383959,0.2858956904068647,0.8523950878413064,0.9750064936065875,0.8848532934911055,0.35950784393690227,0.5988589458757472,0.3547956116572998,0.34019021537064575,0.17808098950580487,0.23769420862405044,0.04486228246077528,0.5054314296357892,0.376252454297363,0.5928054009758866,0.6299418755874974,0.14260031444628352
1,0.8995479421298983,0.10045205787010167,0.8894223410637434,0.11057765893625664,0.9996259499448567,0.0003740500551433277,0.9471821357019218,0.05281786429807826,0.8942830056688271,0.10571699433117289,0.947524359299382,0.052475640700618074,0.9999718549541822,2.814504581782447e-05,0.9756157943635907,0.02438420563640922,0.8677340006468681,0.13226599935313185,0.9461936049839748,0.05380639501602527,1.0,2.2474440393065955e-25,0.9430719900771207,0.05692800992287922,0.999999999999996,3.935641081548208e-15,0.9999999999999994,5.443719343479766e-16,0.8663790783046924,0.13362092169530762,0.9892361791141,0.01076382088589991
2,6.828590928871574e-23,1.0,6.828590928871574e-23,1.0,6.828590928871574e-23,1.0,6.828590928871574e-23,1.0,6.828590928871574e-23,1.0,6.828590928871574e-23,1.0,6.828590928871574e-23,1.0,6.828590928871574e-23,1.0,3.033580826290469e-14,0.9999999999999697,3.033580826290469e-14,0.9999999999999697,3.033580826290469e-14,0.9999999999999697,3.033580826290469e-14,0.9999999999999697,3.033580826290469e-14,0.9999999999999697,3.033580826290469e-14,0.9999999999999697,3.033580826290469e-14,0.9999999999999697,3.033580826290469e-14,0.9999999999999697
3,0.9999999999999996,3.8811563863451424e-16,0.9999999999999996,3.8811563863451424e-16,0.9999999999999996,3.8811563863451424e-16,0.9999999999999996,3.8811563863451424e-16,0.9999999999999996,3.8811563863451424e-16,0.9999999999999996,3.8811563863451424e-16,0.9999999999999996,3.8811563863451424e-16,0.9999999999999996,3.8811563863451424e-16,0.9999999999999999,1.750992361757115e-16,0.9999999999999999,1.750992361757115e-16,0.9999999999999999,1.750992361757115e-16,0.9999999999999999,1.750992361757115e-16,0.9999999999999999,1.750992361757115e-16,0.9999999999999999,1.750992361757115e-16,0.9999999999999999,1.750992361757115e-16,0.9999999999999999,1.750992361757115e-16
4,1.162724875041803e-22,1.0,1.162724875041803e-22,1.0,1.162724875041803e-22,1.0,1.162724875041803e-22,1.0,1.162724875041803e-22,1.0,1.162724875041803e-22,1.0,1.162724875041803e-22,1.0,1.162724875041803e-22,1.0,4.4271460558454185e-14,0.9999999999999557,4.4271460558454185e-14,0.9999999999999557,4.4271460558454185e-14,0.9999999999999557,4.4271460558454185e-14,0.9999999999999557,4.4271460558454185e-14,0.9999999999999557,4.4271460558454185e-14,0.9999999999999557,4.4271460558454185e-14,0.9999999999999557,4.4271460558454185e-14,0.9999999999999557
5,1.0,5.50420134586834e-17,1.0,5.50420134586834e-17,1.0,5.50420134586834e-17,1.0,5.50420134586834e-17,1.0,5.50420134586834e-17,1.0,5.50420134586834e-17,1.0,5.50420134586834e-17,1.0,5.50420134586834e-17,0.9999999999999997,3.966172740063161e-16,0.9999999999999997,3.966172740063161e-16,0.9999999999999997,3.966172740063161e-16,0.9999999999999997,3.966172740063161e-16,0.9999999999999997,3.966172740063161e-16,0.9999999999999997,3.966172740063161e-16,0.9999999999999997,3.966172740063161e-16,0.9999999999999997,3.966172740063161e-16
6,1.6160277359795505e-22,1.0,1.6160277359795505e-22,1.0,1.6160277359795505e-22,1.0,1.6160277359795505e-22,1.0,1.6160277359795505e-22,1.0,1.6160277359795505e-22,1.0,1.6160277359795505e-22,1.0,1.6160277359795505e-22,1.0,6.834066876803954e-14,0.9999999999999316,6.834066876803954e-14,0.9999999999999316,6.834066876803954e-14,0.9999999999999316,6.834066876803954e-14,0.9999999999999316,6.834066876803954e-14,0.9999999999999316,6.834066876803954e-14,0.9999999999999316,6.834066876803954e-14,0.9999999999999316,6.834066876803954e-14,0.9999999999999316
7,1.0,9.243925275030721e-18,1.0,9.243925275030721e-18,1.0,9.243925275030721e-18,1.0,9.243925275030721e-18,1.0,9.243925275030721e-18,1.0,9.243925275030721e-18,1.0,9.243925275030721e-18,1.0,9.243925275030721e-18,0.999999999999999,9.759804759116712e-16,0.999999999999999,9.759804759116712e-16,0.999999999999999,9.759804759116712e-16,0.999999999999999,9.759804759116712e-16,0.999999999999999,9.759804759116712e-16,0.999999999999999,9.759804759116712e-16,0.999999999999999,9.759804759116712e-16,0.999999999999999,9.759804759116712e-16
8,1.844786905653858e-22,1.0,1.844786905653858e-22,1.0,1.844786905653858e-22,1.0,1.844786905653858e-22,1.0,1.844786905653858e-22,1.0,1.844786905653858e-22,1.0,1.844786905653858e-22,1.0,1.844786905653858e-22,1.0,1.1311512434018724e-13,0.9999999999998869,1.1311512434018724e-13,0.9999999999998869,1.1311512434018724e-13,0.9999999999998869,1.1311512434018724e-13,0.9999999999998869,1.1311512434018724e-13,0.9999999999998869,1.1311512434018724e-13,0.9999999999998869,1.1311512434018724e-13,0.9999999999998869,1.1311512434018724e-13,0.9999999999998869
9,1.0,1.7442226812417326e-18,1.0,1.7442226812417326e-18,1.0,1.7442226812417326e-18,1.0,1.7442226812417326e-18,1.0,1.7442226812417326e-18,1.0,1.7442226812417326e-18,1.0,1.7442226812417326e-18,1.0,1.7442226812417326e-18,0.9999999999999974,2.5941252043341902e-15,0.9999999999999974,2.5941252043341902e-15,0.9999999999999974,2.5941252043341902e-15,0.9999999999999974,2.5941252043341902e-15,0.9999999999999974,2.5941252043341902e-15,0.9999999999999974,2.5941252043341902e-15,0.9999999999999974,2.5941252043341902e-15,0.9999999999999974,2.5941252043341902e-15
