Iteration,0-0,0-1,1-0,1-1,2-0,2-1,3-0,3-1,4-0,4-1,5-0,5-1,6-0,6-1,7-0,7-1,8-0,8-1,9-0,9-1,10-0,10-1,11-0,11-1,12-0,12-1,13-0,13-1,14-0,14-1,15-0,15-1
0,1.0,3.1600165862662524e-28,1.0,3.1600165862662524e-28,1.0,3.1600165862662524e-28,1.0,3.1600165862662524e-28,1.0,3.1600165862662524e-28,1.0,3.1600165862662524e-28,1.0,3.1600165862662524e-28,1.0,3.1600165862662524e-28,1.189064442723543e-16,0.9999999999999998,1.189064442723543e-16,0.9999999999999998,1.189064442723543e-16,0.9999999999999998,1.189064442723543e-16,0.9999999999999998,1.189064442723543e-16,0.9999999999999998,1.189064442723543e-16,0.9999999999999998,1.189064442723543e-16,0.9999999999999998,1.189064442723543e-16,0.9999999999999998
1,1.0,3.1600165862662524e-28,1.0,3.1600165862662524e-28,1.0,3.1600165862662524e-28,1.0,3.1600165862662524e-28,1.0,3.1600165862662524e-28,1.0,3.1600165862662524e-28,1.0,3.1600165862662524e-28,1.0,3.1600165862662524e-28,1.189064442723543e-16,0.9999999999999998,1.189064442723543e-16,0.9999999999999998,1.189064442723543e-16,0.9999999999999998,1.189064442723543e-16,0.9999999999999998,1.189064442723543e-16,0.9999999999999998,1.189064442723543e-16,0.9999999999999998,1.189064442723543e-16,0.9999999999999998,1.189064442723543e-16,0.9999999999999998
2,1.0,3.1600165862662524e-28,1.0,3.1600165862662524e-28,1.0,3.1600165862662524e-28,1.0,3.1600165862662524e-28,1.0,3.1600165862662524e-28,1.0,3.1600165862662524e-28,1.0,3.1600165862662524e-28,1.0,3.1600165862662524e-28,1.189064442723543e-16,0.9999999999999998,1.189064442723543e-16,0.9999999999999998,1.189064442723543e-16,0.9999999999999998,1.189064442723543e-16,0.9999999999999998,1.189064442723543e-16,0.9999999999999998,1.189064442723543e-16,0.9999999999999998,1.189064442723543e-16,0.9999999999999998,1.189064442723543e-16,0.9999999999999998
3,1.0,3.1600165862662524e-28,1.0,3.1600165862662524e-28,1.0,3.1600165862662524e-28,1.0,3.1600165862662524e-28,1.0,3.1600165862662524e-28,1.0,3.1600165862662524e-28,1.0,3.1600165862662524e-28,1.0,3.1600165862662524e-28,1.189064442723543e-16,0.9999999999999998,1.189064442723543e-16,0.9999999999999998,1.189064442723543e-16,0.9999999999999998,1.189064442723543e-16,0.9999999999999998,1.189064442723543e-16,0.9999999999999998,1.189064442723543e-16,0.9999999999999998,1.189064442723543e-16,0.9999999999999998,1.189064442723543e-16,0.9999999999999998
4,1.0,3.1600165862662524e-28,1.0,3.1600165862662524e-28,1.0,3.1600165862662524e-28,1.0,3.1600165862662524e-28,1.0,3.1600165862662524e-28,1.0,3.1600165862662524e-28,1.0,3.1600165862662524e-28,1.0,3.1600165862662524e-28,1.189064442723543e-16,0.9999999999999998,1.189064442723543e-16,0.9999999999999998,1.189064442723543e-16,0.9999999999999998,1.189064442723543e-16,0.9999999999999998,1.189064442723543e-16,0.9999999999999998,1.189064442723543e-16,0.9999999999999998,1.189064442723543e-16,0.9999999999999998,1.189064442723543e-16,0.9999999999999998
5,1.0,3.1600165862662524e-28,1.0,3.1600165862662524e-28,1.0,3.1600165862662524e-28,1.0,3.1600165862662524e-28,1.0,3.1600165862662524e-28,1.0,3.1600165862662524e-28,1.0,3.1600165862662524e-28,1.0,3.1600165862662524e-28,1.189064442723543e-16,0.9999999999999998,1.189064442723543e-16,0.9999999999999998,1.189064442723543e-16,0.9999999999999998,1.189064442723543e-16,0.9999999999999998,1.189064442723543e-16,0.9999999999999998,1.189064442723543e-16,0.9999999999999998,1.189064442723543e-16,0.9999999999999998,1.189064442723543e-16,0.9999999999999998
6,1.0,3.1600165862662524e-28,1.0,3.1600165862662524e-28,1.0,3.1600165862662524e-28,1.0,3.1600165862662524e-28,1.0,3.1600165862662524e-28,1.0,3.1600165862662524e-28,1.0,3.1600165862662524e-28,1.0,3.1600165862662524e-28,1.189064442723543e-16,0.9999999999999998,1.189064442723543e-16,0.9999999999999998,1.189064442723543e-16,0.9999999999999998,1.189064442723543e-16,0.9999999999999998,1.189064442723543e-16,0.9999999999999998,1.189064442723543e-16,0.9999999999999998,1.189064442723543e-16,0.9999999999999998,1.189064442723543e-16,0.9999999999999998
7,1.0,3.1600165862662524e-28,1.0,3.1600165862662524e-28,1.0,3.1600165862662524e-28,1.0,3.1600165862662524e-28,1.0,3.1600165862662524e-28,1.0,3.1600165862662524e-28,1.0,3.1600165862662524e-28,1.0,3.1600165862662524e-28,1.189064442723543e-16,0.9999999999999998,1.189064442723543e-16,0.9999999999999998,1.189064442723543e-16,0.9999999999999998,1.189064442723543e-16,0.9999999999999998,1.189064442723543e-16,0.9999999999999998,1.189064442723543e-16,0.9999999999999998,1.189064442723543e-16,0.9999999999999998,1.189064442723543e-16,0.9999999999999998
8,1.0,3.1600165862662524e-28,1.0,3.1600165862662524e-28,1.0,3.1600165862662524e-28,1.0,3.1600165862662524e-28,1.0,3.1600165862662524e-28,1.0,3.1600165862662524e-28,1.0,3.1600165862662524e-28,1.0,3.1600165862662524e-28,1.189064442723543e-16,0.9999999999999998,1.189064442723543e-16,0.9999999999999998,1.189064442723543e-16,0.9999999999999998,1.189064442723543e-16,0.9999999999999998,1.189064442723543e-16,0.9999999999999998,1.189064442723543e-16,0.9999999999999998,1.189064442723543e-16,0.9999999999999998,1.189064442723543e-16,0.9999999999999998
9,1.0,3.1600165862662524e-28,1.0,3.1600165862662524e-28,1.0,3.1600165862662524e-28,1.0,3.1600165862662524e-28,1.0,3.1600165862662524e-28,1.0,3.1600165862662524e-28,1.0,3.1600165862662524e-28,1.0,3.1600165862662524e-28,1.189064442723543e-16,0.9999999999999998,1.189064442723543e-16,0.9999999999999998,1.189064442723543e-16,0.9999999999999998,1.189064442723543e-16,0.9999999999999998,1.189064442723543e-16,0.9999999999999998,1.189064442723543e-16,0.9999999999999998,1.189064442723543e-16,0.9999999999999998,1.189064442723543e-16,0.9999999999999998
10,1.0,3.1600165862662524e-28,1.0,3.1600165862662524e-28,1.0,3.1600165862662524e-28,1.0,3.1600165862662524e-28,1.0,3.1600165862662524e-28,1.0,3.1600165862662524e-28,1.0,3.1600165862662524e-28,1.0,3.1600165862662524e-28,1.189064442723543e-16,0.9999999999999998,1.189064442723543e-16,0.9999999999999998,1.189064442723543e-16,0.9999999999999998,1.189064442723543e-16,0.9999999999999998,1.189064442723543e-16,0.9999999999999998,1.189064442723543e-16,0.9999999999999998,1.189064442723543e-16,0.9999999999999998,1.189064442723543e-16,0.9999999999999998
