Iteration,0-0,0-1,1-0,1-1
0,0.627998349542779,1.147524019010526e-16,1.1022267262006142e-16,0.3720016504572207
1,0.627998349542779,1.147524019010526e-16,1.1022267262006142e-16,0.3720016504572207
2,0.627998349542779,1.147524019010526e-16,1.1022267262006142e-16,0.3720016504572207
3,0.627998349542779,1.147524019010526e-16,1.1022267262006142e-16,0.3720016504572207
4,0.627998349542779,1.147524019010526e-16,1.1022267262006142e-16,0.3720016504572207
5,0.627998349542779,1.147524019010526e-16,1.1022267262006142e-16,0.3720016504572207
6,0.627998349542779,1.147524019010526e-16,1.1022267262006142e-16,0.3720016504572207
7,0.627998349542779,1.147524019010526e-16,1.1022267262006142e-16,0.3720016504572207
8,0.627998349542779,1.147524019010526e-16,1.1022267262006142e-16,0.3720016504572207
9,0.627998349542779,1.147524019010526e-16,1.1022267262006142e-16,0.3720016504572207
10,0.627998349542779,1.147524019010526e-16,1.1022267262006142e-16,0.3720016504572207
11,0.627998349542779,1.147524019010526e-16,1.1022267262006142e-16,0.3720016504572207
12,0.627998349542779,1.147524019010526e-16,1.1022267262006142e-16,0.3720016504572207
13,0.627998349542779,1.147524019010526e-16,1.1022267262006142e-16,0.3720016504572207
14,0.627998349542779,1.147524019010526e-16,1.1022267262006142e-16,0.3720016504572207
15,0.627998349542779,1.147524019010526e-16,1.1022267262006142e-16,0.3720016504572207
16,0.627998349542779,1.147524019010526e-16,1.1022267262006142e-16,0.3720016504572207
17,0.627998349542779,1.147524019010526e-16,1.1022267262006142e-16,0.3720016504572207
18,0.627998349542779,1.147524019010526e-16,1.1022267262006142e-16,0.3720016504572207
19,0.627998349542779,1.147524019010526e-16,1.1022267262006142e-16,0.3720016504572207
20,0.627998349542779,1.147524019010526e-16,1.1022267262006142e-16,0.3720016504572207
21,0.627998349542779,1.147524019010526e-16,1.1022267262006142e-16,0.3720016504572207
22,0.627998349542779,1.147524019010526e-16,1.1022267262006142e-16,0.3720016504572207
23,0.627998349542779,1.147524019010526e-16,1.1022267262006142e-16,0.3720016504572207
24,0.627998349542779,1.147524019010526e-16,1.1022267262006142e-16,0.3720016504572207
25,0.627998349542779,1.147524019010526e-16,1.1022267262006142e-16,0.3720016504572207
26,0.627998349542779,1.147524019010526e-16,1.1022267262006142e-16,0.3720016504572207
27,0.627998349542779,1.147524019010526e-16,1.1022267262006142e-16,0.3720016504572207
28,0.627998349542779,1.147524019010526e-16,1.1022267262006142e-16,0.3720016504572207
29,0.627998349542779,1.147524019010526e-16,1.1022267262006142e-16,0.3720016504572207
