data_size,nmi_value
100x150,0.0
100x150,0.0
100x150,0.0
100x150,0.0
100x150,0.0
100x150,0.0
100x150,0.0
100x150,0.0
100x150,0.0
100x150,0.0
100x150,0.0
100x150,0.0
100x150,0.0
100x150,0.0
100x150,0.0
100x150,0.0
100x150,0.0
100x150,0.0
100x150,0.0
100x150,0.0
100x150,0.0
100x150,0.0
100x150,0.0
100x150,0.0
100x150,0.0
100x150,0.0
100x150,0.0
100x150,0.0
100x150,0.0
100x150,0.0
100x150,0.0
100x150,0.0
100x150,0.0
100x150,0.0
100x150,0.0
100x150,0.0
100x150,0.0
100x150,0.0
100x150,0.0
100x150,0.0
100x150,0.0
100x150,0.0
100x150,0.0
100x150,0.0
100x150,0.0
100x150,0.0
100x150,0.0
100x150,0.0
100x150,0.0
100x150,0.0
100x150,0.0
100x150,0.0
100x150,0.0
100x150,0.0
100x150,0.0
100x150,0.0
100x150,0.0
100x150,0.0
100x150,0.0
100x150,0.0
100x150,0.0
100x150,1.0
100x150,0.0
100x150,1.0
100x150,1.0
100x150,1.0
100x150,1.0
100x150,1.0
100x150,1.0
100x150,0.0
100x150,1.0
100x150,1.0
100x150,1.0
100x150,1.0
100x150,1.0
100x150,1.0
100x150,1.0
100x150,1.0
100x150,1.0
100x150,1.0
100x150,1.0
100x150,0.0
100x150,0.0
100x150,0.0
100x150,0.0
100x150,0.0
100x150,0.0
100x150,0.0
100x150,0.0
100x150,0.0
100x150,0.0
100x150,0.0
100x150,0.0
100x150,0.0
100x150,0.0
100x150,0.0
100x150,0.0
100x150,0.0
100x150,0.0
100x150,0.0
100x150,0.0
100x150,0.0
100x150,0.0
100x150,0.0
100x150,0.0
100x150,0.0
100x150,0.0
100x150,0.0
100x150,0.0
100x150,0.0
100x150,0.0
100x150,0.0
100x150,0.0
100x150,0.0
100x150,0.0
100x150,0.0
100x150,0.0
100x150,0.0
100x150,0.0
100x150,0.0
100x150,0.0
100x150,0.0
100x150,0.0
100x150,0.0
100x150,0.0
100x150,0.0
100x150,0.0
100x150,0.0
100x150,0.0
100x150,0.0
100x150,0.0
100x150,0.0
100x150,0.0
100x150,0.0
100x150,0.0
100x150,0.0
100x150,0.0
100x150,0.0
100x150,0.0
100x150,0.0
100x150,0.0
100x150,0.0
100x150,0.0
100x150,0.0
100x150,0.0
100x150,0.0
100x150,0.0
100x150,0.0
100x150,0.0
100x150,0.0
100x150,0.0
100x150,0.0
100x150,0.0
100x150,0.0
100x150,0.0
100x150,0.0
100x150,0.0
100x150,0.0
100x150,0.0
100x150,0.0
100x150,0.0
100x150,0.0
100x150,0.0
100x150,0.0
100x150,0.0
100x150,0.0
100x150,0.0
200x300,0.0
200x300,0.0
200x300,0.0
200x300,0.0
200x300,0.0
200x300,0.0
200x300,0.0
200x300,0.0
200x300,0.0
200x300,0.0
300x450,0.0
300x450,0.0
300x450,0.0
300x450,0.0
300x450,0.0
300x450,0.0
300x450,0.0
300x450,0.0
300x450,0.0
300x450,0.0
100x150,0.0
100x150,0.0
100x150,0.0
100x150,0.0
100x150,0.0
100x150,0.0
100x150,0.0
100x150,0.0
100x150,0.0
100x150,0.0
200x300,0.0
100x150,0.0
100x150,0.0
100x150,0.0
100x150,0.0
100x150,0.0
100x150,0.0
100x150,0.0
100x150,0.0
100x150,0.0
100x150,0.0
100x150,0.0
100x150,0.0
100x150,0.0
100x150,0.0
100x150,0.0
100x150,0.0
1000x1500,0.0
100x150,0.0
100x150,0.0
100x150,0.0
100x150,0.0
100x150,0.0
100x150,0.0
100x150,0.0
100x150,0.0
100x150,0.0
100x150,0.0
100x150,0.0
100x150,1.0
