data_size,row_nmi_value,col_nmi_value,seed,categories_row_num,categories_col_num,categories_row,categories_col,execution_time
100x150,1.0,0.8096574636920919,0,0,15,"([], [])","([1, 2, 7, 8, 13, 14, 16, 19, 21, 22, 25, 27, 28, 35, 38], [0, 3, 4, 5, 10, 12, 15, 17, 20, 23, 24, 26, 29, 30, 31], [6, 9, 11, 18, 32, 34, 39, 42, 43, 44, 45, 46, 48, 50, 53])",31.79
100x150,1.0,0.8096574636920919,1,0,15,"([], [])","([1, 2, 7, 8, 13, 14, 16, 19, 21, 22, 25, 27, 28, 35, 38], [0, 3, 4, 5, 10, 12, 15, 17, 20, 23, 24, 26, 29, 30, 31], [6, 9, 11, 18, 32, 34, 39, 42, 43, 44, 45, 46, 48, 50, 53])",31.94
100x150,1.0,0.8153751205966524,2,0,15,"([], [])","([1, 2, 7, 8, 13, 14, 16, 19, 21, 22, 25, 27, 28, 35, 38], [0, 3, 4, 5, 10, 12, 15, 17, 20, 23, 24, 26, 29, 30, 31], [6, 9, 11, 18, 32, 34, 39, 42, 43, 44, 45, 46, 48, 50, 53])",31.91
100x150,1.0,0.8096574636920919,3,0,15,"([], [])","([1, 2, 7, 8, 13, 14, 16, 19, 21, 22, 25, 27, 28, 35, 38], [0, 3, 4, 5, 10, 12, 15, 17, 20, 23, 24, 26, 29, 30, 31], [6, 9, 11, 18, 32, 34, 39, 42, 43, 44, 45, 46, 48, 50, 53])",32.22
100x150,1.0,0.8153751205966524,4,0,15,"([], [])","([1, 2, 7, 8, 13, 14, 16, 19, 21, 22, 25, 27, 28, 35, 38], [0, 3, 4, 5, 10, 12, 15, 17, 20, 23, 24, 26, 29, 30, 31], [6, 9, 11, 18, 32, 34, 39, 42, 43, 44, 45, 46, 48, 50, 53])",31.65
100x150,1.0,0.8096574636920919,5,0,15,"([], [])","([1, 2, 7, 8, 13, 14, 16, 19, 21, 22, 25, 27, 28, 35, 38], [0, 3, 4, 5, 10, 12, 15, 17, 20, 23, 24, 26, 29, 30, 31], [6, 9, 11, 18, 32, 34, 39, 42, 43, 44, 45, 46, 48, 50, 53])",32.14
100x150,1.0,0.8096574636920919,6,0,15,"([], [])","([1, 2, 7, 8, 13, 14, 16, 19, 21, 22, 25, 27, 28, 35, 38], [0, 3, 4, 5, 10, 12, 15, 17, 20, 23, 24, 26, 29, 30, 31], [6, 9, 11, 18, 32, 34, 39, 42, 43, 44, 45, 46, 48, 50, 53])",32.27
100x150,1.0,0.8153751205966524,7,0,15,"([], [])","([1, 2, 7, 8, 13, 14, 16, 19, 21, 22, 25, 27, 28, 35, 38], [0, 3, 4, 5, 10, 12, 15, 17, 20, 23, 24, 26, 29, 30, 31], [6, 9, 11, 18, 32, 34, 39, 42, 43, 44, 45, 46, 48, 50, 53])",32.00
100x150,1.0,0.8096574636920919,8,0,15,"([], [])","([1, 2, 7, 8, 13, 14, 16, 19, 21, 22, 25, 27, 28, 35, 38], [0, 3, 4, 5, 10, 12, 15, 17, 20, 23, 24, 26, 29, 30, 31], [6, 9, 11, 18, 32, 34, 39, 42, 43, 44, 45, 46, 48, 50, 53])",32.32
100x150,1.0,0.8096574636920919,9,0,15,"([], [])","([1, 2, 7, 8, 13, 14, 16, 19, 21, 22, 25, 27, 28, 35, 38], [0, 3, 4, 5, 10, 12, 15, 17, 20, 23, 24, 26, 29, 30, 31], [6, 9, 11, 18, 32, 34, 39, 42, 43, 44, 45, 46, 48, 50, 53])",33.11
