Iteration,0-0,0-1,1-0,1-1
0,0.29403334466154096,0.8968175120940145,0.28382060896178973,0.21586059437218852
1,0.056561819205728746,0.11994778109936066,0.5368406696395486,0.28664973005536204
2,0.2532790849287892,0.39522443755956205,0.30275560211574737,0.04874087539590143
3,0.3234011407255004,0.08596967698186883,0.5610488793554625,0.029580302937168252
4,0.5288409846168637,0.0655221628895941,0.4054700242517156,0.00016682824182669994
5,0.5407126604231466,2.0316540929623322e-05,0.4590781433612628,0.00018887967466107937
6,0.5150838471586574,5.9155370162007495e-09,0.4847171250270033,0.00019902189880224773
7,0.4919561937269141,2.5036214574585715e-12,0.5078963178884565,0.0001474883821257644
8,0.5089431106397384,7.037640603034911e-13,0.4910567140299743,1.7532958353289634e-07
9,0.4907290391199709,6.590664707552448e-16,0.5092709004913444,6.038868408178331e-08
