Iteration,0-0,0-1
0,1.0,1.0
1,0.6599400778572858,0.3400599221427142
2,0.7978172590504511,0.202182740949549
3,0.932768859409374,0.06723114059062588
4,0.9356435643564357,0.06435643564356433
5,0.9356435643564357,0.06435643564356433
6,0.9356435643564357,0.06435643564356433
7,0.9356435643564357,0.06435643564356433
8,0.9356435643564357,0.06435643564356433
9,0.9356435643564357,0.06435643564356433
10,0.9356435643564357,0.06435643564356433
11,0.9356435643564357,0.06435643564356433
12,0.9356435643564357,0.06435643564356433
13,0.9356435643564357,0.06435643564356433
14,0.9356435643564357,0.06435643564356433
15,0.9356435643564357,0.06435643564356433
16,0.9356435643564357,0.06435643564356433
17,0.9356435643564357,0.06435643564356433
18,0.9356435643564357,0.06435643564356433
19,0.9356435643564357,0.06435643564356433
20,0.9356435643564357,0.06435643564356433
21,0.9356435643564357,0.06435643564356433
22,0.9356435643564357,0.06435643564356433
23,0.9356435643564357,0.06435643564356433
24,0.9356435643564357,0.06435643564356433
25,0.9356435643564357,0.06435643564356433
26,0.9356435643564357,0.06435643564356433
27,0.9356435643564357,0.06435643564356433
28,0.9356435643564357,0.06435643564356433
29,0.9356435643564357,0.06435643564356433
