Iteration,0-0,0-1,1-0,1-1,2-0,2-1,3-0,3-1,4-0,4-1,5-0,5-1,6-0,6-1,7-0,7-1,8-0,8-1,9-0,9-1,10-0,10-1,11-0,11-1,12-0,12-1,13-0,13-1,14-0,14-1,15-0,15-1
0,0.5839578475721823,0.16672539736308,0.34809538190085,0.4218991186515809,0.24947386960516216,0.7699528020940497,0.5513102155520662,0.026292055508836065,0.7709758156859574,0.09321751359533725,0.7027962033938827,0.5795388320933598,0.5992178074262863,0.8572699717278605,0.5511696467216657,0.08234400232793138,0.7334957971933564,0.5338576270510059,0.34208906105756387,0.4716111112072602,0.2215720718833747,0.1764754506837276,0.4745360280388581,0.3612372395339699,0.824439773099266,0.14600013341134666,0.8195691627589864,0.18386897018433435,0.5630132529879914,0.12408799048963104,0.6939187841898196,0.037965785191296786
1,0.7034360427216632,0.29656395727833684,0.7807367555054645,0.21926324449453546,0.9358627650709171,0.06413723492908277,0.7514900565178965,0.24850994348210353,0.7581505798534077,0.24184942014659233,0.7295279506115896,0.27047204938841035,0.738333254557103,0.26166674544289703,0.9245167410908758,0.0754832589091242,0.7076012516765408,0.2923987483234593,0.9890510234793798,0.01094897652062033,0.7973001322626498,0.20269986773735008,0.919125984475446,0.08087401552455396,0.7199719903209747,0.2800280096790253,0.8278703112550757,0.17212968874492432,0.7407348454959187,0.2592651545040812,0.8968544594264409,0.10314554057355917
2,0.03871880235816611,0.9612811976418338,0.04682595859945696,0.953174041400543,0.041885654486685034,0.958114345513315,0.04646703037343526,0.9535329696265648,0.04663527051532247,0.9533647294846775,0.04514188385474878,0.9548581161452513,0.04650627458682314,0.9534937254131769,0.042623233973340925,0.957376766026659,0.04320237137706807,0.9567976286229318,0.039642066984742014,0.960357933015258,0.04747730964369351,0.9525226903563065,0.04243208144960105,0.9575679185503989,0.04508542963581618,0.9549145703641837,0.04658329356933267,0.9534167064306673,0.0471594245478304,0.9528405754521695,0.04421546735278913,0.955784532647211
3,0.014560715401069589,0.9854392845989304,0.014560492104202622,0.9854395078957974,0.014607385353803131,0.985392614646197,0.014560011647373026,0.985439988352627,0.014560407544655707,0.9854395924553443,0.014590352431727367,0.9854096475682727,0.014561635715769603,0.9854383642842304,0.014614019245960043,0.9853859807540399,0.01458123938035595,0.985418760619644,0.014534460396778972,0.9854655396032209,0.014528584747622947,0.985471415252377,0.014581839375831355,0.9854181606241686,0.014555740609127283,0.9854442593908728,0.014559667708989935,0.9854403322910101,0.014561434797788188,0.9854385652022118,0.014652231440678854,0.9853477685593212
4,1.0,5.74350610179395e-25,1.0,3.791045136459311e-25,1.0,8.71110527068104e-25,1.0,3.790990735163602e-25,1.0,3.791125708079748e-25,1.0,5.757575490252115e-25,1.0,3.7923149742632225e-25,1.0,8.71619056615891e-25,1.0,5.751600602404769e-25,1.0,3.7817203727603294e-25,1.0,2.487205183041217e-25,1.0,5.752579802989035e-25,1.0,3.7878071533407596e-25,1.0,3.789145189745247e-25,1.0,3.790917653938992e-25,1.0,1.316292568454444e-24
5,1.0,1.3695281244884903e-44,1.0,1.3695281244884903e-44,1.0,1.3695281244884903e-44,1.0,1.3695281244884903e-44,1.0,1.3695281244884903e-44,1.0,1.3695281244884903e-44,1.0,1.3695281244884903e-44,1.0,1.3695281244884903e-44,1.0,1.3695281244884903e-44,1.0,1.3695281244884903e-44,1.0,1.3695281244884903e-44,1.0,1.3695281244884903e-44,1.0,1.3695281244884903e-44,1.0,1.3695281244884903e-44,1.0,1.3695281244884903e-44,1.0,1.3695281244884903e-44
6,1.0,1.3714814993645575e-44,1.0,1.3714814993645575e-44,1.0,1.3714814993645575e-44,1.0,1.3714814993645575e-44,1.0,1.3714814993645575e-44,1.0,1.3714814993645575e-44,1.0,1.3714814993645575e-44,1.0,1.3714814993645575e-44,1.0,1.3714814993645575e-44,1.0,1.3714814993645575e-44,1.0,1.3714814993645575e-44,1.0,1.3714814993645575e-44,1.0,1.3714814993645575e-44,1.0,1.3714814993645575e-44,1.0,1.3714814993645575e-44,1.0,1.3714814993645575e-44
7,1.0,1.3773065323519688e-44,1.0,1.3773065323519688e-44,1.0,1.3773065323519688e-44,1.0,1.3773065323519688e-44,1.0,1.3773065323519688e-44,1.0,1.3773065323519688e-44,1.0,1.3773065323519688e-44,1.0,1.3773065323519688e-44,1.0,1.3773065323519688e-44,1.0,1.3773065323519688e-44,1.0,1.3773065323519688e-44,1.0,1.3773065323519688e-44,1.0,1.3773065323519688e-44,1.0,1.3773065323519688e-44,1.0,1.3773065323519688e-44,1.0,1.3773065323519688e-44
8,1.0,1.394773303141156e-44,1.0,1.394773303141156e-44,1.0,1.394773303141156e-44,1.0,1.394773303141156e-44,1.0,1.394773303141156e-44,1.0,1.394773303141156e-44,1.0,1.394773303141156e-44,1.0,1.394773303141156e-44,1.0,1.394773303141156e-44,1.0,1.394773303141156e-44,1.0,1.394773303141156e-44,1.0,1.394773303141156e-44,1.0,1.394773303141156e-44,1.0,1.394773303141156e-44,1.0,1.394773303141156e-44,1.0,1.394773303141156e-44
9,1.0,1.4480183204213746e-44,1.0,1.4480183204213746e-44,1.0,1.4480183204213746e-44,1.0,1.4480183204213746e-44,1.0,1.4480183204213746e-44,1.0,1.4480183204213746e-44,1.0,1.4480183204213746e-44,1.0,1.4480183204213746e-44,1.0,1.4480183204213746e-44,1.0,1.4480183204213746e-44,1.0,1.4480183204213746e-44,1.0,1.4480183204213746e-44,1.0,1.4480183204213746e-44,1.0,1.4480183204213746e-44,1.0,1.4480183204213746e-44,1.0,1.4480183204213746e-44
