Iteration,0-0,0-1,1-0,1-1
0,0.7164600356268734,0.3051953672285064,0.649184555283548,0.37400508527297993
1,0.4469947968984516,0.05784940185096932,0.32899984801744553,0.16615595323313356
2,0.6907887421482992,0.0023733527892815403,0.03766736878270745,0.2691705362797119
3,0.7138960436752708,7.86578600795212e-05,0.002687580134713693,0.283337718329936
4,0.7119104868566061,2.588357681970847e-06,0.0001938298770007746,0.28789309490871107
5,0.7082440863389541,8.57060994583666e-08,1.390295894717962e-05,0.2917419249959993
6,0.7044963823888446,2.8578880512698845e-09,9.906888109673772e-07,0.29550262406445654
7,0.7007812436910686,9.596610124041132e-11,7.012979730930423e-08,0.2992186860831681
8,0.6971076572589244,3.2448762575261764e-12,4.932073627494685e-09,0.30289233780575703
9,0.6934770951193046,1.1046955586354499e-13,3.446257682608223e-10,0.3065229045359591
