Iteration,0-0,0-1,1-0,1-1
0,0.05863733661784576,0.4703102716019074,0.6191682438830982,0.1736399289905367
1,0.011684302794256538,0.5470890182215684,0.4182385269031671,0.022988152081008
2,0.0005083875251070951,0.5643599787667882,0.4338665227039804,0.0012651110041243324
3,2.2105363069380193e-05,0.5639207286927597,0.4359873324088334,6.983353533755539e-05
4,9.635049515104606e-07,0.5626065551682756,0.437388635001796,3.846324976796246e-06
5,4.210167382426491e-08,0.561273876015668,0.4387258705517094,2.1133094880901713e-07
6,1.8442264890456249e-09,0.5599664021410089,0.4400335844315211,1.1583243611840684e-08
7,8.097976342612607e-11,0.5586859193850308,0.44131407990060373,6.333858359024633e-10
8,3.564224797209904e-12,0.5574320357010806,0.44256796426080125,3.455403266012963e-11
9,1.5722650248079253e-13,0.5562042509650663,0.4437957490328956,1.880804875661741e-12
10,6.975906418184286e-15,0.5550020657013894,0.44499793429850143,1.0215626972816102e-13
11,3.0427073036206e-16,0.5538249869257056,0.4461750130742884,5.5522587183201115e-15
12,1.144233192011792e-16,0.552672528542202,0.4473274714577975,3.0125235797232557e-16
13,1.1179037868582554e-16,0.5515442114371648,0.44845578856283497,1.1031638669020933e-16
14,1.0905583945179227e-16,0.5504395635424092,0.4495604364575907,1.1471747388463347e-16
15,1.134052714531097e-16,0.5493581198840917,0.45064188011590817,1.1253225984970088e-16
16,1.1074193760433592e-16,0.5482994226186545,0.45170057738134517,1.1025406917125855e-16
17,1.1515601482086737e-16,0.5472630210568701,0.4527369789431297,1.146487003768054e-16
18,1.125690442524722e-16,0.5462484716768511,0.45375152832314875,1.1244363746174221e-16
19,1.0988222843331464e-16,0.545255338126863,0.4547446618731367,1.1014531606172823e-16
20,1.1425856081590946e-16,0.5442831912187014,0.4557168087812984,1.1453212656188676e-16
21,1.1164536175504275e-16,0.543331608912377,0.4566683910876228,1.1230658808706905e-16
22,1.0893122256997234e-16,0.54240017629279,0.4575998237072097,1.099874422399807e-16
23,1.1326664942535691e-16,0.5414884855390497,0.4585115144609502,1.143649062910793e-16
24,1.1062310819246236e-16,0.5405961358870396,0.4594038641129602,1.1211805405019726e-16
25,1.150240311451926e-16,0.5397227335858112,0.4602772664141885,1.0977717377850788e-16
26,1.1245626553343084e-16,0.5388678918483357,0.46113210815166406,1.141435872585323e-16
27,1.0978924243765601e-16,0.538031230797124,0.4619687692028757,1.1187435536778471e-16
28,1.1415453165341574e-16,0.537212377405183,0.46278762259481676,1.0951059735685331e-16
29,1.115606378977419e-16,0.5364109654327558,0.4635890345672439,1.138640578370909e-16
