Iteration,0-0,0-1,1-0,1-1,2-0,2-1,3-0,3-1,4-0,4-1,5-0,5-1,6-0,6-1,7-0,7-1,8-0,8-1,9-0,9-1,10-0,10-1,11-0,11-1,12-0,12-1,13-0,13-1,14-0,14-1,15-0,15-1
0,0.9331791288537815,0.9653483464868927,0.525249444507877,0.8979467560267131,0.5306400406213063,0.6025418297785998,0.7109446311847782,0.9869729865150384,0.3273259904809398,0.687529946679019,0.9357711361664744,0.047029671781964266,0.5449334750647578,0.6981934978773938,0.2719193442569897,0.9002959880316638,0.36037129049980776,0.9403708974925217,0.6184857134579598,0.674614905082971,0.088847342653117,0.7181565189397511,0.3572363115919981,0.11191690083480477,0.4360634515744045,0.7958851911893071,0.5359797343198396,0.24603247646497806,0.3641607692425425,0.386040670187326,0.16032124420670557,0.35690045641944623
1,0.8163744141776542,0.1836255858223458,0.6459011100040672,0.35409888999593264,0.7455912486960052,0.25440875130399476,0.6959806008995306,0.3040193991004695,0.9974481251884345,0.0025518748115655973,0.4543862205867068,0.5456137794132931,0.9967480042735999,0.0032519957264000848,0.9055625884561457,0.0944374115438543,4.0495782179420325e-09,0.9999999959504219,0.20901015108785187,0.790989848912148,0.003889385740881487,0.9961106142591185,0.4701417143924091,0.529858285607591,0.01780684944774705,0.982193150552253,3.049899030407976e-05,0.999969501009696,3.492587051469764e-25,1.0,0.05064053675585495,0.9493594632441451
2,1.0,1.546337799018939e-23,1.0,1.546337799018939e-23,1.0,1.546337799018939e-23,1.0,1.546337799018939e-23,1.0,1.546337799018939e-23,1.0,1.546337799018939e-23,1.0,1.546337799018939e-23,1.0,1.546337799018939e-23,2.494022611796326e-18,1.0,2.494022611796326e-18,1.0,2.494022611796326e-18,1.0,2.494022611796326e-18,1.0,2.494022611796326e-18,1.0,2.494022611796326e-18,1.0,2.494022611796326e-18,1.0,2.494022611796326e-18,1.0
3,1.0,3.0948436792619146e-25,1.0,3.0948436792619146e-25,1.0,3.0948436792619146e-25,1.0,3.0948436792619146e-25,1.0,3.0948436792619146e-25,1.0,3.0948436792619146e-25,1.0,3.0948436792619146e-25,1.0,3.0948436792619146e-25,1.7309509338851973e-19,1.0,1.7309509338851973e-19,1.0,1.7309509338851973e-19,1.0,1.7309509338851973e-19,1.0,1.7309509338851973e-19,1.0,1.7309509338851973e-19,1.0,1.7309509338851973e-19,1.0,1.7309509338851973e-19,1.0
4,1.0,2.874882469580346e-25,1.0,2.874882469580346e-25,1.0,2.874882469580346e-25,1.0,2.874882469580346e-25,1.0,2.874882469580346e-25,1.0,2.874882469580346e-25,1.0,2.874882469580346e-25,1.0,2.874882469580346e-25,1.3312498520956002e-19,1.0,1.3312498520956002e-19,1.0,1.3312498520956002e-19,1.0,1.3312498520956002e-19,1.0,1.3312498520956002e-19,1.0,1.3312498520956002e-19,1.0,1.3312498520956002e-19,1.0,1.3312498520956002e-19,1.0
5,1.0,3.265834370125306e-25,1.0,3.265834370125306e-25,1.0,3.265834370125306e-25,1.0,3.265834370125306e-25,1.0,3.265834370125306e-25,1.0,3.265834370125306e-25,1.0,3.265834370125306e-25,1.0,3.265834370125306e-25,1.1516442244557936e-19,1.0,1.1516442244557936e-19,1.0,1.1516442244557936e-19,1.0,1.1516442244557936e-19,1.0,1.1516442244557936e-19,1.0,1.1516442244557936e-19,1.0,1.1516442244557936e-19,1.0,1.1516442244557936e-19,1.0
6,1.0,3.7400548549919788e-25,1.0,3.7400548549919788e-25,1.0,3.7400548549919788e-25,1.0,3.7400548549919788e-25,1.0,3.7400548549919788e-25,1.0,3.7400548549919788e-25,1.0,3.7400548549919788e-25,1.0,3.7400548549919788e-25,1.0047055311687398e-19,1.0,1.0047055311687398e-19,1.0,1.0047055311687398e-19,1.0,1.0047055311687398e-19,1.0,1.0047055311687398e-19,1.0,1.0047055311687398e-19,1.0,1.0047055311687398e-19,1.0,1.0047055311687398e-19,1.0
7,1.0,4.273596724528129e-25,1.0,4.273596724528129e-25,1.0,4.273596724528129e-25,1.0,4.273596724528129e-25,1.0,4.273596724528129e-25,1.0,4.273596724528129e-25,1.0,4.273596724528129e-25,1.0,4.273596724528129e-25,8.792297666341846e-20,1.0,8.792297666341846e-20,1.0,8.792297666341846e-20,1.0,8.792297666341846e-20,1.0,8.792297666341846e-20,1.0,8.792297666341846e-20,1.0,8.792297666341846e-20,1.0,8.792297666341846e-20,1.0
8,1.0,4.869916307131198e-25,1.0,4.869916307131198e-25,1.0,4.869916307131198e-25,1.0,4.869916307131198e-25,1.0,4.869916307131198e-25,1.0,4.869916307131198e-25,1.0,4.869916307131198e-25,1.0,4.869916307131198e-25,7.715664214660684e-20,1.0,7.715664214660684e-20,1.0,7.715664214660684e-20,1.0,7.715664214660684e-20,1.0,7.715664214660684e-20,1.0,7.715664214660684e-20,1.0,7.715664214660684e-20,1.0,7.715664214660684e-20,1.0
9,1.0,5.534412215712716e-25,1.0,5.534412215712716e-25,1.0,5.534412215712716e-25,1.0,5.534412215712716e-25,1.0,5.534412215712716e-25,1.0,5.534412215712716e-25,1.0,5.534412215712716e-25,1.0,5.534412215712716e-25,6.789272723705914e-20,1.0,6.789272723705914e-20,1.0,6.789272723705914e-20,1.0,6.789272723705914e-20,1.0,6.789272723705914e-20,1.0,6.789272723705914e-20,1.0,6.789272723705914e-20,1.0,6.789272723705914e-20,1.0
10,1.0,6.272855565698983e-25,1.0,6.272855565698983e-25,1.0,6.272855565698983e-25,1.0,6.272855565698983e-25,1.0,6.272855565698983e-25,1.0,6.272855565698983e-25,1.0,6.272855565698983e-25,1.0,6.272855565698983e-25,5.990036472740659e-20,1.0,5.990036472740659e-20,1.0,5.990036472740659e-20,1.0,5.990036472740659e-20,1.0,5.990036472740659e-20,1.0,5.990036472740659e-20,1.0,5.990036472740659e-20,1.0,5.990036472740659e-20,1.0
11,1.0,7.091285264902083e-25,1.0,7.091285264902083e-25,1.0,7.091285264902083e-25,1.0,7.091285264902083e-25,1.0,7.091285264902083e-25,1.0,7.091285264902083e-25,1.0,7.091285264902083e-25,1.0,7.091285264902083e-25,5.298705694192009e-20,1.0,5.298705694192009e-20,1.0,5.298705694192009e-20,1.0,5.298705694192009e-20,1.0,5.298705694192009e-20,1.0,5.298705694192009e-20,1.0,5.298705694192009e-20,1.0,5.298705694192009e-20,1.0
12,1.0,7.995991939414925e-25,1.0,7.995991939414925e-25,1.0,7.995991939414925e-25,1.0,7.995991939414925e-25,1.0,7.995991939414925e-25,1.0,7.995991939414925e-25,1.0,7.995991939414925e-25,1.0,7.995991939414925e-25,4.699183527972705e-20,1.0,4.699183527972705e-20,1.0,4.699183527972705e-20,1.0,4.699183527972705e-20,1.0,4.699183527972705e-20,1.0,4.699183527972705e-20,1.0,4.699183527972705e-20,1.0,4.699183527972705e-20,1.0
13,1.0,8.993505342817441e-25,1.0,8.993505342817441e-25,1.0,8.993505342817441e-25,1.0,8.993505342817441e-25,1.0,8.993505342817441e-25,1.0,8.993505342817441e-25,1.0,8.993505342817441e-25,1.0,8.993505342817441e-25,4.177974235759884e-20,1.0,4.177974235759884e-20,1.0,4.177974235759884e-20,1.0,4.177974235759884e-20,1.0,4.177974235759884e-20,1.0,4.177974235759884e-20,1.0,4.177974235759884e-20,1.0,4.177974235759884e-20,1.0
14,1.0,1.009058000783457e-24,1.0,1.009058000783457e-24,1.0,1.009058000783457e-24,1.0,1.009058000783457e-24,1.0,1.009058000783457e-24,1.0,1.009058000783457e-24,1.0,1.009058000783457e-24,1.0,1.009058000783457e-24,3.7237337776702856e-20,1.0,3.7237337776702856e-20,1.0,3.7237337776702856e-20,1.0,3.7237337776702856e-20,1.0,3.7237337776702856e-20,1.0,3.7237337776702856e-20,1.0,3.7237337776702856e-20,1.0,3.7237337776702856e-20,1.0
15,1.0,1.1294178860421028e-24,1.0,1.1294178860421028e-24,1.0,1.1294178860421028e-24,1.0,1.1294178860421028e-24,1.0,1.1294178860421028e-24,1.0,1.1294178860421028e-24,1.0,1.1294178860421028e-24,1.0,1.1294178860421028e-24,3.326902652757957e-20,1.0,3.326902652757957e-20,1.0,3.326902652757957e-20,1.0,3.326902652757957e-20,1.0,3.326902652757957e-20,1.0,3.326902652757957e-20,1.0,3.326902652757957e-20,1.0,3.326902652757957e-20,1.0
16,1.0,1.2611454842849164e-24,1.0,1.2611454842849164e-24,1.0,1.2611454842849164e-24,1.0,1.2611454842849164e-24,1.0,1.2611454842849164e-24,1.0,1.2611454842849164e-24,1.0,1.2611454842849164e-24,1.0,1.2611454842849164e-24,2.979405158221145e-20,1.0,2.979405158221145e-20,1.0,2.979405158221145e-20,1.0,2.979405158221145e-20,1.0,2.979405158221145e-20,1.0,2.979405158221145e-20,1.0,2.979405158221145e-20,1.0,2.979405158221145e-20,1.0
